ER-F01	Trace each architecture acceptance clause to its frozen section: solver applicability, units/support coupling, ledgers, uncertainty, identities, evaluator authority, recovery and isolation.	Mark any omitted clause or BOX-only evidence offered for the full architecture contract as incomplete.
ER-F02	Reconcile all 27 original task identities, nine historical waves and 24 scientific contracts against the immutable lineage manifest and the current 221-row mapping.	Remove one original mapping in a temporary copy and verify the plan validator rejects it; the immutable source files must remain unchanged.
ER-F03	Run the existing plan validator and its negative probes; inspect BOX-001 equations, values, arms, invalid cases, artifacts and next-work scope against the original acceptance.	A green DAG check with a missing scientific contract clause is insufficient; record that clause as failing.
ER-001	Review the delivered synthetic catchment geometry, particle classes, boundaries, analytic equations and dimensional mass-accounting equation with a hand-computable limit.	Reject an undefined boundary, missing conserved quantity or undocumented analytic validity assumption.
ER-002	Inspect the delivered source catalog and rights table against actual provider/version, coverage and use/redistribution terms for every proposed input.	A missing license, private-only input or untraceable transformation must block inclusion; do not substitute an invented permissive license.
ER-003	Execute the experiment skeleton's documented first study, retained result inspection and a deliberately invalid configuration in a fresh fixture directory.	An unsupported input must fail before a successful activation; missing executable instructions or lost failed-attempt evidence fails.
ER-004	Run the delivered reference flow/transport example and independently reconstruct boundary flux and storage changes using its published analytic reference.	Mutate one retained edge flux without changing the solver status; independent accounting must reject it.
ER-005	Compare delivered baseline, prevention and interception policies with matched forcing and explicit resource assumptions.	Treat a prevented source quantity as captured waste in a copied result and require the evaluator to reject double accounting.
ER-006	Reconcile delivered storage, transport, treatment and disposal ledgers through terminal fate and separate lifecycle burdens.	A storage receipt relabeled as disposal completion or unknown impacts relabeled zero must fail.
ER-007	Execute the declared dry and storm scenarios and inspect original forcing, units, support and paired-arm identities.	A mismatched storm forcing in one arm must make the comparison ineligible.
ER-008	Recompute the three-strategy comparison from retained measurements, all attempts, common boundaries and declared budgets.	Include an invalid/crashed arm; it must remain in the attempt denominator and cannot receive a valid ranking.
ER-009	Open the delivered maps, equivalent tables, balances and limitations; trace one displayed cell and custody total to source records.	Missing units/support, a map without an accessible table or a total that cannot be reconstructed fails.
ER-010	Run the delivered particle and flow sensitivity suite using versioned admitted ranges and paired conditions; compare response and ranking reversals.	Unsupported process ranges or silently discarded failed samples must invalidate the claimed sensitivity conclusion.
